M/Z,Intensity
343.29558,3575
343.94997,22089
344.06187,30878
344.07647,74566
344.08309,32577
344.09439,26387
344.10254,27791
344.10699,174944
344.11504,25633
344.11947,55841
344.12801,13730
344.13913,3484
344.14319,5205
344.15634,20216
344.16764,4096
344.17575,9930
344.18155,5012
344.19275,40764
344.21209,46274
344.22913,7516
344.24036,5013
344.26965,73553
345.05459,7567
345.05715,12531
345.08693,26268
345.09096,45785
345.10216,113417
345.11023,48022
345.1147,58929
345.12302,14175
345.12728,49834
345.14038,18944
345.15976,7435
345.17677,19095
345.18803,144242
345.21323,8707
345.22453,358741
345.27292,12474
345.92807,7067
346.05465,14034
346.07765,138716
346.08616,62404
346.09425,5889
346.09836,10231
346.10548,21780
346.1073,12678
346.10996,33767
346.12259,96832
346.1307,6817
346.14381,7774
346.15101,34981
346.17198,5245
346.17606,19212
346.1832,18054
346.18714,2907
346.19134,14754
346.20855,18440
346.21975,63546
346.22792,54595
346.24485,42001
346.26005,3491
347.07038,14918
347.07291,92978
347.08103,40589
347.08539,11365
347.09392,26677
347.10249,14881
347.10652,80969
347.1178,86850
347.12594,18798
347.13043,16257
347.13509,5604
347.16734,76429
347.17533,10165
347.19247,27283
347.20374,196964
347.20788,32494
347.229,8611
347.24416,3232
347.34211,12988
348.07041,197290
348.07628,19383
348.08075,17708
348.09328,354778
348.10178,86168
348.11416,10175
348.1211,13375
348.12559,14198
348.13827,23864
348.16656,8548
348.16985,23363
348.17766,4046
348.1877,6002
348.19175,19580
348.20288,4177
348.20708,22364
348.21127,3024
348.26459,5923
349.07368,17186
349.08862,261189
349.09675,105733
349.10115,103287
349.1052,14674
349.10964,43110
349.12217,23092
349.13345,41551
349.16184,3110
349.18297,294673
349.29628,5138
349.70813,24657
350.08379,56434
350.09193,72334
350.09641,142951
350.1048,39753
350.109,265351
350.11752,67496
350.18642,37386
350.20996,3278
350.21849,5517
350.35311,6369
350.70346,10657
351.05075,15540
351.08034,13716
351.09157,68133
351.09969,36666
351.10416,192705
351.11257,107643
351.1168,127234
351.14918,9917
351.17733,8608
351.21391,13707
351.27554,9060
351.34826,4838
351.46289,5244
352.07564,15804
352.09683,60729
352.09951,38094
352.10759,52592
352.11202,163762
352.12015,38175
352.12451,55574
352.13306,31380
352.16151,8967
352.19784,12016
352.66811,26553
353.09195,20610
353.09597,120372
353.10449,36580
353.1072,71772
353.11532,45009
353.11982,52844
353.12846,80308
353.13247,36609
353.18175,8162
353.193,16271
353.20207,16343
353.22955,7887
353.38913,2945
354.09127,129934
354.09941,31428
354.10387,29429
354.1125,101123
354.11518,16076
354.12335,10311
354.12775,56042
354.13182,11646
354.17706,17469
354.18834,9752
354.21358,37417
354.22473,14315
354.24986,16621
354.35932,5169
355.04793,13468
355.06891,65698
355.07526,32149
355.08657,36231
355.09471,32433
355.0992,59452
355.10773,35089
355.11178,158195
355.11581,17925
355.12295,27759
355.13543,6106
355.14404,34602
355.14908,16036
355.1611,22810
355.17241,31153
355.19762,29827
355.20884,43935
355.36834,41077
356.07059,10096
356.0918,8900
356.09445,31621
356.107,149321
356.11505,42770
356.11948,37976
356.12805,43782
356.14328,5560
356.1474,2937
356.1564,23948
356.19286,25862
356.204,7935
356.22915,14456
356.24038,21972
